"SKU","snapshot_date","units_in_stock","units_sold_7d","units_sold_30d","units_sold_60d","days_of_inventory_left","dead_stock_flag","total_order_quantity","avg_cost_per_unit","avg_lead_time","expected_delivery","actual_delivery"
"SKU-PAN-0002","2022-01-16",0,23,46,46,0.0,"N",87.0,982.0,53.0,"2022-03-10","2022-03-10"
"SKU-SHI-0003","2022-01-16",35,17,33,33,31.8,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2022-01-16",93,15,27,27,103.3,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2022-01-16",44,3,12,12,110.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2022-01-16",82,7,13,13,189.2,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2022-01-16",93,4,8,8,348.8,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2022-01-16",125,4,10,10,375.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2022-01-16",87,4,10,10,261.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2022-01-16",78,4,8,8,292.5,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2022-01-16",119,3,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2022-01-16",53,4,5,5,318.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2022-01-16",85,5,5,5,510.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2022-01-16",46,4,8,8,172.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2022-01-16",137,0,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2022-01-16",123,4,4,4,922.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2022-01-16",79,0,3,3,790.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2022-01-16",117,3,4,4,877.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2022-01-16",56,2,5,5,336.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2022-01-16",86,3,5,5,516.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2022-01-16",82,1,3,3,820.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2022-01-16",106,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2022-01-16",125,2,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2022-01-16",62,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2022-01-16",93,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2022-01-16",85,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2022-01-16",47,1,2,2,705.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2022-01-16",106,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2022-01-16",96,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2022-01-16",60,2,2,2,900.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2022-01-16",47,1,2,2,705.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2022-01-16",95,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2022-01-16",119,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2022-01-16",64,1,2,2,960.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2022-01-16",53,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2022-01-16",127,2,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2022-01-16",116,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2022-01-16",45,1,2,2,675.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2022-01-16",113,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2022-01-16",127,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2022-01-16",128,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2022-01-16",125,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2022-01-16",59,0,2,2,885.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2022-01-16",107,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2022-01-16",108,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2022-01-16",129,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2022-01-16",102,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2022-01-16",53,0,2,2,795.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2022-01-16",124,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2022-01-16",120,1,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2022-01-16",72,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2022-01-16",78,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2022-01-16",70,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2022-01-16",76,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2022-01-16",111,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2022-01-23",0,53,134,134,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0002","2022-01-23",0,25,71,71,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0003","2022-01-23",22,13,46,46,14.3,"N",93.0,1004.0,39.0,"2022-03-01","2022-03-03"
"SKU-TSH-0004","2022-01-23",84,9,36,36,70.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2022-01-23",34,10,22,22,46.4,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2022-01-23",77,5,18,18,128.3,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2022-01-23",87,6,14,14,186.4,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2022-01-23",122,3,13,13,281.5,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2022-01-23",84,3,13,13,193.8,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2022-01-23",76,2,10,10,228.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2022-01-23",117,2,5,5,702.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2022-01-23",51,2,7,7,218.6,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2022-01-23",80,5,10,10,240.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2022-01-23",43,3,11,11,117.3,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2022-01-23",136,1,4,4,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2022-01-23",122,1,5,5,732.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2022-01-23",77,2,5,5,462.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2022-01-23",114,3,7,7,488.6,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2022-01-23",52,4,9,9,173.3,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2022-01-23",85,1,6,6,425.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2022-01-23",80,2,5,5,480.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2022-01-23",106,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2022-01-23",124,1,4,4,930.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2022-01-23",59,3,4,4,442.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2022-01-23",87,6,8,8,326.2,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2022-01-23",84,1,3,3,840.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2022-01-23",44,3,5,5,264.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2022-01-23",103,3,4,4,772.5,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2022-01-23",95,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2022-01-23",60,0,2,2,900.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2022-01-23",47,0,2,2,705.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2022-01-23",91,4,6,6,455.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2022-01-23",119,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2022-01-23",63,1,3,3,630.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2022-01-23",52,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2022-01-23",127,0,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2022-01-23",116,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2022-01-23",45,0,2,2,675.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2022-01-23",112,1,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2022-01-23",125,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2022-01-23",128,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2022-01-23",124,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2022-01-23",58,1,3,3,580.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2022-01-23",106,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2022-01-23",108,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2022-01-23",128,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2022-01-23",102,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2022-01-23",53,0,2,2,795.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2022-01-23",124,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2022-01-23",120,0,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2022-01-23",72,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2022-01-23",78,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2022-01-23",69,1,3,3,690.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2022-01-23",76,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2022-01-23",110,1,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2022-01-30",0,56,190,190,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0002","2022-01-30",0,14,85,85,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0003","2022-01-30",9,13,59,59,4.6,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2022-01-30",73,11,47,47,46.6,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2022-01-30",29,5,27,27,32.2,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2022-01-30",72,5,23,23,93.9,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2022-01-30",83,4,18,18,138.3,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2022-01-30",117,5,18,18,195.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2022-01-30",83,1,14,14,177.9,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2022-01-30",70,6,16,16,131.2,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2022-01-30",117,0,5,5,702.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2022-01-30",48,3,10,10,144.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2022-01-30",74,6,16,16,138.8,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2022-01-30",43,0,11,11,117.3,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2022-01-30",135,1,5,5,810.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2022-01-30",120,2,7,7,514.3,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2022-01-30",75,2,7,7,321.4,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2022-01-30",113,1,8,8,423.8,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2022-01-30",52,0,9,9,173.3,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2022-01-30",82,3,9,9,273.3,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2022-01-30",78,2,7,7,334.3,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2022-01-30",104,2,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2022-01-30",120,4,8,8,450.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2022-01-30",58,1,5,5,348.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2022-01-30",85,2,10,10,255.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2022-01-30",83,1,4,4,622.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2022-01-30",44,0,5,5,264.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2022-01-30",100,3,7,7,428.6,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2022-01-30",94,1,3,3,940.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2022-01-30",60,0,2,2,900.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2022-01-30",47,0,2,2,705.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2022-01-30",91,0,6,6,455.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2022-01-30",118,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2022-01-30",63,0,3,3,630.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2022-01-30",49,3,4,4,367.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2022-01-30",127,0,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2022-01-30",113,3,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2022-01-30",45,0,2,2,675.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2022-01-30",111,1,4,4,832.5,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2022-01-30",124,1,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2022-01-30",126,2,3,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2022-01-30",123,1,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2022-01-30",57,1,4,4,427.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2022-01-30",106,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2022-01-30",108,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2022-01-30",125,3,5,5,750.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2022-01-30",102,0,1,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2022-01-30",53,0,2,2,795.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2022-01-30",122,2,4,4,915.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2022-01-30",117,3,6,6,585.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2022-01-30",71,1,3,3,710.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2022-01-30",78,0,0,0,999.0,"Y",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2022-01-30",69,0,3,3,690.0,"N",0.0,0.0,0.0,"",""
