"date","traffic_source","campaign_name","device_category","country","city","sessions","product_views","add_to_cart","begin_checkout","purchases","revenue","conversion_rate","aov","meta_spend","meta_reach","meta_impressions","meta_link_clicks","meta_add_to_cart","meta_checkouts","meta_purchases","meta_conversion_value"
"2022-01-02","Email/SMS","","desktop","India","Indore",4,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-02","Email/SMS","","tablet","India","Jaipur",1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Meta","KS_AlwaysOn","mobile","India","Bengaluru",96,312,8,4,3,5380.45,0.0312,1793.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Meta","KS_AlwaysOn","desktop","India","Ahmedabad",39,121,2,1,4,6974.22,0.1026,1743.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Meta","KS_AlwaysOn","tablet","India","Delhi",4,10,0,0,1,1847.33,0.25,1847.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Google","","mobile","India","Ahmedabad",34,116,1,0,1,1607.55,0.0294,1607.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Google","","desktop","India","Mumbai",18,54,0,0,2,2969.45,0.1111,1484.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Google","","tablet","India","Indore",2,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Influencer","","mobile","India","Pune",27,73,1,0,1,1740.62,0.037,1740.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Influencer","","desktop","India","Indore",13,39,1,0,1,1838.13,0.0769,1838.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Influencer","","tablet","India","Delhi",8,38,0,0,1,1780.25,0.125,1780.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Organic Instagram","","mobile","India","Pune",28,82,1,0,4,7634.0,0.1429,1908.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Organic Instagram","","desktop","India","Delhi",3,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Organic Instagram","","tablet","India","Indore",1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Email/SMS","","mobile","India","Pune",16,65,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Email/SMS","","desktop","India","Lucknow",6,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-03","Email/SMS","","tablet","India","Surat",1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Meta","KS_AlwaysOn","mobile","India","Ahmedabad",100,364,7,3,1,1881.41,0.01,1881.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Meta","KS_AlwaysOn","desktop","India","Hyderabad",38,137,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Meta","KS_AlwaysOn","tablet","India","Delhi",5,16,0,0,1,2123.59,0.2,2123.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Google","","mobile","India","Mumbai",43,110,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Google","","desktop","India","Lucknow",15,35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Google","","tablet","India","Mumbai",5,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Influencer","","mobile","India","Jaipur",28,80,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Influencer","","desktop","India","Ahmedabad",15,53,0,0,2,4446.0,0.1333,2223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Influencer","","tablet","India","Hyderabad",2,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Organic Instagram","","mobile","India","Surat",17,37,1,0,3,5979.0,0.1765,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Organic Instagram","","desktop","India","Bengaluru",4,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Organic Instagram","","tablet","India","Jaipur",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Email/SMS","","mobile","India","Ahmedabad",11,32,0,0,1,1661.13,0.0909,1661.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Email/SMS","","desktop","India","Indore",4,8,0,0,1,1751.87,0.25,1751.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-04","Email/SMS","","tablet","India","Surat",2,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Meta","KS_AlwaysOn","mobile","India","Hyderabad",98,347,6,3,5,8092.5,0.051,1618.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Meta","KS_AlwaysOn","desktop","India","Jaipur",46,126,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Meta","KS_AlwaysOn","tablet","India","Lucknow",8,18,0,0,1,2038.5,0.125,2038.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Google","","mobile","India","Lucknow",42,132,2,1,1,1826.0,0.0238,1826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Google","","desktop","India","Mumbai",12,56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Google","","tablet","India","Jaipur",5,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Influencer","","mobile","India","Jaipur",30,111,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Influencer","","desktop","India","Surat",18,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Influencer","","tablet","India","Ahmedabad",3,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Organic Instagram","","mobile","India","Bengaluru",22,69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Organic Instagram","","desktop","India","Hyderabad",4,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Organic Instagram","","tablet","India","Delhi",1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Email/SMS","","mobile","India","Bengaluru",19,71,1,0,2,3660.0,0.1053,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Email/SMS","","desktop","India","Surat",2,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-05","Email/SMS","","tablet","India","Lucknow",1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Meta","KS_AlwaysOn","mobile","India","Indore",94,442,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Meta","KS_AlwaysOn","desktop","India","Hyderabad",41,120,2,0,3,5459.0,0.0732,1819.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Meta","KS_AlwaysOn","tablet","India","Surat",10,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Google","","mobile","India","Delhi",33,137,2,1,1,1313.53,0.0303,1313.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Google","","desktop","India","Pune",12,30,0,0,1,1456.47,0.0833,1456.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Google","","tablet","India","Mumbai",3,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Influencer","","mobile","India","Ahmedabad",33,93,2,1,3,5713.71,0.0909,1904.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Influencer","","desktop","India","Hyderabad",16,63,1,0,1,1904.29,0.0625,1904.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Influencer","","tablet","India","Pune",3,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Organic Instagram","","mobile","India","Jaipur",14,58,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Organic Instagram","","desktop","India","Jaipur",8,27,0,0,1,1655.0,0.125,1655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Organic Instagram","","tablet","India","Surat",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Email/SMS","","mobile","India","Jaipur",13,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Email/SMS","","desktop","India","Pune",6,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-06","Email/SMS","","tablet","India","Delhi",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Meta","KS_AlwaysOn","mobile","India","Pune",105,303,8,3,12,21193.73,0.1143,1766.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Meta","KS_AlwaysOn","desktop","India","Hyderabad",29,94,0,0,1,1515.44,0.0345,1515.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Meta","KS_AlwaysOn","tablet","India","Pune",7,22,0,0,1,1632.83,0.1429,1632.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Google","","mobile","India","Ahmedabad",36,114,2,1,2,3211.49,0.0556,1605.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Google","","desktop","India","Ahmedabad",11,37,1,0,1,1767.51,0.0909,1767.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Google","","tablet","India","Mumbai",2,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Influencer","","mobile","India","Mumbai",28,95,2,1,1,1478.0,0.0357,1478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Influencer","","desktop","India","Hyderabad",20,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Influencer","","tablet","India","Hyderabad",1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Organic Instagram","","mobile","India","Surat",23,100,1,0,2,3373.0,0.087,1686.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Organic Instagram","","desktop","India","Mumbai",7,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Organic Instagram","","tablet","India","Delhi",2,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Email/SMS","","mobile","India","Hyderabad",8,26,0,0,1,1692.0,0.125,1692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Email/SMS","","desktop","India","Lucknow",4,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-07","Email/SMS","","tablet","India","Delhi",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Meta","KS_AlwaysOn","mobile","India","Surat",102,379,8,4,6,10226.49,0.0588,1704.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Meta","KS_AlwaysOn","desktop","India","Delhi",34,110,1,0,1,1714.51,0.0294,1714.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Meta","KS_AlwaysOn","tablet","India","Indore",4,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Google","","mobile","India","Delhi",32,133,1,0,2,3784.0,0.0625,1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Google","","desktop","India","Hyderabad",13,54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Google","","tablet","India","Mumbai",2,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Influencer","","mobile","India","Pune",34,158,1,0,4,6720.06,0.1176,1680.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Influencer","","desktop","India","Ahmedabad",13,44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Influencer","","tablet","India","Pune",4,9,0,0,1,1788.94,0.25,1788.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Organic Instagram","","mobile","India","Ahmedabad",13,44,0,0,1,1864.31,0.0769,1864.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Organic Instagram","","desktop","India","Hyderabad",8,32,0,0,1,1467.69,0.125,1467.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Organic Instagram","","tablet","India","Mumbai",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Email/SMS","","mobile","India","Ahmedabad",17,34,1,0,2,3023.0,0.1176,1511.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Email/SMS","","desktop","India","Mumbai",5,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-08","Email/SMS","","tablet","India","Delhi",3,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Meta","KS_AlwaysOn","mobile","India","Lucknow",113,354,6,2,2,2892.51,0.0177,1446.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Meta","KS_AlwaysOn","desktop","India","Hyderabad",28,91,2,1,1,1544.49,0.0357,1544.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Meta","KS_AlwaysOn","tablet","India","Ahmedabad",10,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Google","","mobile","India","Delhi",38,146,3,1,1,1539.0,0.0263,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Google","","desktop","India","Lucknow",9,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Google","","tablet","India","Pune",3,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Influencer","","mobile","India","Indore",33,98,2,0,1,1611.0,0.0303,1611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Influencer","","desktop","India","Ahmedabad",12,52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Influencer","","tablet","India","Delhi",3,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Organic Instagram","","mobile","India","Indore",16,55,1,0,2,3467.71,0.125,1733.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Organic Instagram","","desktop","India","Hyderabad",8,22,0,0,1,1655.29,0.125,1655.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Organic Instagram","","tablet","India","Mumbai",1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Email/SMS","","mobile","India","Lucknow",22,86,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Email/SMS","","desktop","India","Lucknow",7,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-09","Email/SMS","","tablet","India","Ahmedabad",2,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Meta","KS_AlwaysOn","mobile","India","Lucknow",99,336,8,4,7,13013.11,0.0707,1859.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Meta","KS_AlwaysOn","desktop","India","Hyderabad",35,140,1,0,1,1830.89,0.0286,1830.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Meta","KS_AlwaysOn","tablet","India","Mumbai",8,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Google","","mobile","India","Jaipur",45,90,3,1,1,1622.54,0.0222,1622.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Google","","desktop","India","Ahmedabad",11,38,0,0,1,1620.46,0.0909,1620.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Google","","tablet","India","Pune",1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Influencer","","mobile","India","Jaipur",29,107,1,0,1,1835.24,0.0345,1835.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Influencer","","desktop","India","Surat",11,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Influencer","","tablet","India","Pune",3,11,0,0,1,1847.76,0.3333,1847.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Organic Instagram","","mobile","India","Delhi",12,29,0,0,2,4017.0,0.1667,2008.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Organic Instagram","","desktop","India","Delhi",8,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Organic Instagram","","tablet","India","Lucknow",1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Email/SMS","","mobile","India","Surat",17,50,1,0,2,4065.0,0.1176,2032.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Email/SMS","","desktop","India","Bengaluru",9,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-10","Email/SMS","","tablet","India","Ahmedabad",1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Meta","KS_AlwaysOn","mobile","India","Delhi",101,387,11,5,2,3272.48,0.0198,1636.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Meta","KS_AlwaysOn","desktop","India","Surat",35,117,2,0,2,3196.52,0.0571,1598.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Meta","KS_AlwaysOn","tablet","India","Jaipur",5,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Google","","mobile","India","Surat",39,104,2,0,5,8234.7,0.1282,1646.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Google","","desktop","India","Jaipur",9,22,0,0,1,1751.3,0.1111,1751.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Google","","tablet","India","Jaipur",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Influencer","","mobile","India","Delhi",39,145,2,0,2,3277.0,0.0513,1638.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Influencer","","desktop","India","Indore",13,43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Influencer","","tablet","India","Hyderabad",1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Organic Instagram","","mobile","India","Ahmedabad",15,45,1,0,2,3635.11,0.1333,1817.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Organic Instagram","","desktop","India","Indore",1,3,0,0,1,2065.89,1.0,2065.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Organic Instagram","","tablet","India","Ahmedabad",4,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Email/SMS","","mobile","India","Pune",13,42,0,0,1,1503.42,0.0769,1503.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2022-01-11","Email/SMS","","desktop","India","Indore",9,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
